length,dev,cap,SP500,NASDAQ,WTI,GOOG,daily_mean,n_pos
50,1.5,,0.3205191053881606,0.37534317662845135,0.11333276715790566,-0.9257507311746758,-0.02913892050003955,3
50,1.5,1.5,0.15776459383487568,0.3817283772604808,0.22381719731918986,-0.7482367524103065,0.0037683540010599315,3
50,1.5,2.0,0.2868178812586752,0.3261958511113794,0.04485943140778936,-0.8066696829092237,-0.037199129782844925,3
50,1.5,2.5,0.3259634705664615,0.37676179660016584,0.13512597419446895,-0.8169518959770868,0.005224836346002348,3
50,2.0,,0.47671668618256186,0.20950990349810625,0.08590490687559525,-0.7790420083459763,-0.0017276279474282286,3
50,2.0,1.5,0.2141238654460592,0.5484467381723414,0.29375719994247923,-0.34914316835452425,0.1767961588015889,3
50,2.0,2.0,0.40797550274156386,0.29342347525416607,0.07214395256715496,-0.6536278293695287,0.02997877529833906,3
50,2.0,2.5,0.39163188161798307,0.21528916624386604,0.18865242041467523,-0.6721812468505635,0.03084805535649021,3
50,2.5,,0.2841513521128931,0.2377536945464711,0.15238758423117899,-0.6163427916041632,0.014487459821595022,3
50,2.5,1.5,0.01951596682763072,0.6228730828780874,0.1770223131805173,-0.3760247283906762,0.1108466586238898,3
50,2.5,2.0,0.17979017055021868,0.5807741241709369,-0.0449950261964469,-0.3445984451574743,0.09274270584180858,2
50,2.5,2.5,0.17320546465820438,0.23654215456799133,0.14881237622086338,-0.31398439826186464,0.061143899296298626,3
50,3.0,,0.16758094901744275,0.5234749381128921,0.14196092193849816,-0.12602858027495617,0.17674705719846923,3
50,3.0,1.5,-0.0008678524861770806,0.3855561010491048,-0.05541255854138827,0.0,0.08231892250538486,1
50,3.0,2.0,0.06507501387286646,0.2859447906632891,0.13075858334556392,-0.07715431666317252,0.10115601780463673,3
50,3.0,2.5,0.026773654792840464,0.514087037606735,0.21536890568522157,-0.07715431666317252,0.16976882035540614,3
80,1.5,,0.5021745825261384,0.17611091070915733,0.15865359506183171,-0.8836714959005453,-0.011683101900854448,3
80,1.5,1.5,0.5293561339385352,0.19396601853729506,0.12847955196605915,-0.7348321285158806,0.029242393981502163,3
80,1.5,2.0,0.4549585400018625,0.1481159516181468,0.13134887120157435,-0.8352024601957975,-0.025194774343553467,3
80,1.5,2.5,0.4718174659597448,0.15004736604651905,0.14610563450253727,-0.8544503195436935,-0.02161996325872309,3
80,2.0,,0.4972905415521999,0.4308397034388355,0.09976265815731401,-0.7559631878291925,0.06798242882978925,3
80,2.0,1.5,0.564928005641749,0.46563016481042896,0.17053202556486988,-0.3967927533123081,0.20107436067618495,3
80,2.0,2.0,0.4457341084219063,0.5292032897301864,0.09958546547833554,-0.7110076016033614,0.09087881550676671,3
80,2.0,2.5,0.44986158332027665,0.5693039681751899,0.10260808169539633,-0.5995840268475773,0.13054740158582137,3
80,2.5,,0.531013115628418,0.03498501291320187,0.17616965286310354,-0.1937670707059387,0.13710017767469618,3
80,2.5,1.5,0.2468130616472868,-0.018373742748844474,0.05911799815029643,-0.13048818854670033,0.03926728212550961,2
80,2.5,2.0,0.33963685259268434,0.10389356961451826,0.16010693545970908,0.06462293379821296,0.16706507286628117,4
80,2.5,2.5,0.43160227938200185,0.2152155669366118,0.2721879552950954,0.10280167222679357,0.25545186846012563,4
80,3.0,,0.30050284783701153,0.13731803331441597,-0.010326403585332367,-0.4254463278666785,0.0005120374248541448,2
80,3.0,1.5,0.0,-0.15469937002829998,0.0,-0.3174812977367896,-0.1180451669412724,0
80,3.0,2.0,-0.126007499983357,-0.15469937002829998,0.0,-0.3174812977367896,-0.14954704193711166,0
80,3.0,2.5,-0.029077174349820892,0.10531388694908644,0.022428276007043172,-0.3174812977367896,-0.05470407728262022,2
100,1.5,,0.49423684573833754,0.14532961023850588,0.09603111312483137,-0.6766011263309095,0.01474911069269133,3
100,1.5,1.5,0.609042097207193,0.26081616807771646,0.044615888257175655,-0.48710963458516976,0.10684112973922885,3
100,1.5,2.0,0.47533765371503484,0.0897891059245942,0.08876493817717843,-0.58430323349178,0.017397116081256853,3
100,1.5,2.5,0.4951902091733766,0.12466183428999325,0.11165334531173561,-0.58486443633285,0.036660238110563875,3
100,2.0,,0.7331356751437585,0.38044234950754924,-0.010223684228683888,-0.40460595911231484,0.1746870953275773,2
100,2.0,1.5,0.7823431495418053,0.6014907314433553,-0.016188782121564927,-0.34470109045538844,0.2557360021020518,2
100,2.0,2.0,0.7325672180495507,0.5057976018247268,-0.04007900368681862,-0.39116249432545486,0.20178083046550105,2
100,2.0,2.5,0.7115406260564979,0.5598197247735719,-0.012881744622437376,-0.2539447521326508,0.25113346351874544,2
100,2.5,,0.5636918874198664,0.11172019434604144,-0.06770002939213071,-0.680449733823007,-0.01818442036230747,2
100,2.5,1.5,0.41884889803385733,0.35574276533843885,-0.2228135702320575,-0.06067665263887835,0.1227753601253401,2
100,2.5,2.0,0.45232511852661833,0.40382746978005096,-0.12457850846465067,-0.5017049050135114,0.057467293707126804,2
100,2.5,2.5,0.5283367275977294,0.4447783640723036,-0.10396517774759975,-0.5004041901762053,0.09218643093655701,2
100,3.0,,0.457526100245387,0.3940967934033996,-0.011114238523926935,-0.3815635962832437,0.114736264710404,2
100,3.0,1.5,0.21316324854708601,0.0,0.0,-0.16886242216930597,0.011075206594445011,1
100,3.0,2.0,0.3805467081493179,0.17535009822047015,0.0,-0.16886242216930597,0.09675859605012051,2
100,3.0,2.5,0.41148605069855443,0.3818763620320734,0.013161739125276623,-0.16886242216930597,0.15941543242164963,3
150,1.5,,0.11390060179062862,0.10503705405456369,-0.28194081074246086,-0.12004837082291607,-0.04576288143004616,2
150,1.5,1.5,0.350716205562542,0.15507056720995163,-0.3080289183033294,0.047733071690709984,0.06137273153996855,3
150,1.5,2.0,0.2228441847655131,0.10423198576285496,-0.2888732515131167,-0.11460872300892945,-0.019101450998419523,2
150,1.5,2.5,0.22831055777713655,0.09949422887141239,-0.2911940566078761,-0.10322392658952625,-0.016653299137213355,2
150,2.0,,0.4701283629360492,0.2977664654068047,-0.36048297994768785,-0.4473451844406911,-0.009983334011381254,2
150,2.0,1.5,0.5845064710329835,0.17605058532511575,-0.4039590077501426,-0.19150062399613435,0.04127435615295557,2
150,2.0,2.0,0.4001123475187174,0.25421746363235376,-0.3711015884319079,-0.4010047453252157,-0.029444130651513106,2
150,2.0,2.5,0.45086178796712345,0.28690738735872795,-0.34973678862163304,-0.4239822123625381,-0.00898745641457993,2
150,2.5,,0.5234650880398162,0.3267740143476566,-0.18870751512295023,0.0226048184323194,0.1710341014242105,3
150,2.5,1.5,0.6640821861311925,0.2624829466265045,-0.16927546170151456,0.40952434015376904,0.2917035028024879,3
150,2.5,2.0,0.5886201591910856,0.37622940664267834,-0.19830557202239327,0.2618832285599219,0.2571068055928231,3
150,2.5,2.5,0.6063750479057542,0.3343080188,-0.17629577428000853,0.2618832285599219,0.2565676302464169,3
150,3.0,,0.6153625958906697,0.1977308918929934,-0.436571846239828,0.05590528381799914,0.10810673134045856,3
150,3.0,1.5,0.4529452853577405,0.24176916660797448,-0.3907064843854786,0.43765646623590243,0.18541610845403467,3
150,3.0,2.0,0.5183348772727758,0.710360455744395,-0.36221161501577287,0.43765646623590243,0.3260350460593251,3
150,3.0,2.5,0.5524199848657245,0.7975365144290711,-0.36221161501577287,0.43765646623590243,0.3563503376287313,3
200,1.5,,0.21750094827718483,0.1695507940228895,-0.25020328111549034,-0.09533689106675575,0.010377892529457061,2
200,1.5,1.5,0.1747107733551395,0.06141876183947409,-0.23873520723779632,-0.02174304172918159,-0.0060871784430910824,2
200,1.5,2.0,0.20736479034740524,0.1673374664072298,-0.24691631880224654,-0.0759776114259541,0.012952081631608596,2
200,1.5,2.5,0.20431284285219686,0.18435555618123528,-0.25341872903240753,-0.07538640916442639,0.014965815209149556,2
200,2.0,,0.22346767966120684,0.2915833166015398,-0.11736546620034526,0.0049807741225080925,0.10066657604622736,3
200,2.0,1.5,0.2588935392103926,0.2861489748944192,-0.13127529270621818,0.04350414613107886,0.11431784188241813,3
200,2.0,2.0,0.25225293869522203,0.31956221142103564,-0.11641963021325198,0.02827408354113682,0.12091740086103561,3
200,2.0,2.5,0.23132463356380742,0.35539490465369666,-0.11411516292932217,0.02827408354113682,0.1252196147073297,3
200,2.5,,0.3423420708881573,0.37073689233162466,-0.09331405395948585,-0.2608368404956234,0.08973201719116819,2
200,2.5,1.5,0.44274880095314323,0.3630814215798105,-0.06875979014913262,-0.23612279681143164,0.12523690889309735,2
200,2.5,2.0,0.32938309338486016,0.33243866688613827,-0.09620631354299249,-0.27687823458960215,0.07218430303460094,2
200,2.5,2.5,0.35511154474396756,0.4577582180837716,-0.09221641626818093,-0.27687823458960215,0.11094377799248903,2
200,3.0,,0.531165436015804,0.33595623820422515,-0.1709916857534265,-0.1011202655999925,0.14875243071665253,2
200,3.0,1.5,0.38372549223422453,0.2218847220776106,-0.21663710671413045,-0.10407111972319044,0.07122549696862857,2
200,3.0,2.0,0.46545151814911534,0.26277525536861673,-0.18887080781499144,-0.10407111972319044,0.10882121149488756,2
200,3.0,2.5,0.5430076540889544,0.33608255657233643,-0.1709916857534265,-0.10407111972319044,0.15100685129616848,2
