inst,group,lrc_dev,sharpe,sharpe_gross,cagr,exposure,inside_pct,trades,win_rate,avg_bars,max_bars,long_trades,short_trades,long_pnl,short_pnl,both_band_bars,bars,start,end
SBIN,NSE 1h stock,2.0,-0.839974821752654,-0.41676121569743496,-0.18674174926635362,0.4247321931967675,0.8587671490321368,560,0.5928571428571429,8.071428571428571,38,261,299,-0.020758852911088532,-0.8100136087943934,2,10642,2017-01-02,2023-02-28
SBIN,NSE 1h stock,2.5,-1.1094829451033779,-0.6953946264622672,-0.25643015028458493,0.47058823529411764,0.9457808682578462,606,0.5891089108910891,8.264026402640264,38,284,322,-0.12757944186028602,-1.1918934089341302,2,10642,2017-01-02,2023-02-28
SBIN,NSE 1h stock,3.0,-1.0667855086053573,-0.6493473409902717,-0.25072319138540156,0.4747227964668295,0.9595000939672994,616,0.5909090909090909,8.2012987012987,38,291,325,-0.08574633397405912,-1.1793222513085169,2,10642,2017-01-02,2023-02-28
MARUTI,NSE 1h stock,0.5,-1.2429480079018058,-0.9108586746764259,-0.12050202783104856,0.1619996241308025,0.249483179853411,201,0.5422885572139303,8.577114427860696,58,100,101,-0.061091932360283874,-0.5891072658925429,0,10642,2017-01-02,2023-02-28
MARUTI,NSE 1h stock,1.0,-1.6005359230213065,-1.1785558583020554,-0.20910941875344802,0.27833114076301446,0.47932719413644054,361,0.5373961218836565,8.204986149584487,58,183,178,-0.4538521420788341,-0.7320609270721249,1,10642,2017-01-02,2023-02-28
MARUTI,NSE 1h stock,1.5,-1.9129619499440567,-1.3948275999932394,-0.2898805906774007,0.40452922383010714,0.7365156925389964,541,0.5637707948243993,7.957486136783734,58,274,267,-0.5879065559467257,-1.1337395683817253,2,10642,2017-01-02,2023-02-28
MARUTI,NSE 1h stock,2.0,-1.5006877636624432,-0.9379709397984937,-0.2567269185677218,0.4570569441834242,0.8775606089081,638,0.5815047021943573,7.623824451410658,58,321,317,-0.35644558768613094,-1.0230084125967422,2,10642,2017-01-02,2023-02-28
MARUTI,NSE 1h stock,2.5,-1.5898168194009659,-1.0341502698062184,-0.28614580556430286,0.4840255591054313,0.9471903777485435,675,0.5837037037037037,7.631111111111111,58,339,336,-0.5681398375256841,-1.0223969688852939,3,10642,2017-01-02,2023-02-28
MARUTI,NSE 1h stock,3.0,-1.5683293971624805,-1.018037843197923,-0.28781992381232924,0.48985153166697987,0.9591242247697801,681,0.5814977973568282,7.654919236417034,58,342,339,-0.5452022806004039,-1.0519748244686398,3,10642,2017-01-02,2023-02-28
HINDUNILVR,NSE 1h stock,0.5,-0.5771728521904165,-0.19009090495698755,-0.05288005943075101,0.141326818267243,0.23754933283217441,206,0.6359223300970874,7.300970873786408,55,101,105,-0.0005880943966153906,-0.20343330647222663,0,10642,2017-01-02,2023-02-28
HINDUNILVR,NSE 1h stock,1.0,-0.44974322125520416,0.0996863035691887,-0.056572750286909265,0.2475098665664349,0.47415899267055067,384,0.6302083333333334,6.859375,55,184,200,-0.024458456710715115,-0.0980022463467235,2,10642,2017-01-02,2023-02-28
HINDUNILVR,NSE 1h stock,1.5,-0.3894532804428118,0.2920407335136702,-0.058803079379425846,0.34476602142454427,0.7024995301635031,551,0.6206896551724138,6.65880217785844,55,262,289,-0.0006559710558800003,-0.03906513564847852,3,10642,2017-01-02,2023-02-28
HINDUNILVR,NSE 1h stock,2.0,-0.2268605629928934,0.5464981238080013,-0.04205019749110094,0.4139259537680887,0.8702311595564743,676,0.628698224852071,6.516272189349112,55,311,365,0.07155825421109324,0.06763719457783463,4,10642,2017-01-02,2023-02-28
HINDUNILVR,NSE 1h stock,2.5,-0.05921619823265414,0.7268715562867832,-0.020091430015249382,0.43619620372110507,0.9430558165758316,720,0.6347222222222222,6.447222222222222,55,334,386,0.2205504435412894,0.08468792995578966,6,10642,2017-01-02,2023-02-28
HINDUNILVR,NSE 1h stock,3.0,-0.067054911091417,0.7031660975239638,-0.022295631096362883,0.4405186994925766,0.9618492764517947,728,0.635989010989011,6.43956043956044,55,339,389,0.20755916987997597,0.0925363789170584,6,10642,2017-01-02,2023-02-28
ASIANPAINT,NSE 1h stock,0.5,-0.2764239630746622,0.07496534695311968,-0.03425396579145087,0.1520473328324568,0.2555409466566491,226,0.6814159292035398,7.163716814159292,39,102,124,-0.004655892956171748,-0.06016354020048731,4,10648,2017-01-02,2023-02-28
ASIANPAINT,NSE 1h stock,1.0,-0.6596270825000752,-0.22915346361486144,-0.10134183622210803,0.26953418482344105,0.49840345604808417,382,0.6308900523560209,7.513089005235602,49,171,211,-0.345045107952798,-0.049042247452568744,5,10648,2017-01-02,2023-02-28
ASIANPAINT,NSE 1h stock,1.5,-0.5912567702766042,-0.03485019627820114,-0.10485746174479695,0.36673553719008267,0.722389181066867,557,0.6409335727109515,7.010771992818672,49,256,301,-0.2181469817006435,-0.09518368289981988,6,10648,2017-01-02,2023-02-28
ASIANPAINT,NSE 1h stock,2.0,-0.6588112694520173,-0.039546242977920226,-0.12252126257806661,0.44055221637866265,0.8932193839218633,660,0.6454545454545455,7.107575757575757,59,301,359,-0.1807906947619134,-0.19129624952630858,7,10648,2017-01-02,2023-02-28
ASIANPAINT,NSE 1h stock,2.5,-0.699707849588343,-0.09222552132874125,-0.1365596612063826,0.4592411720510894,0.9507888805409467,685,0.6437956204379562,7.138686131386861,59,310,375,-0.1941762069151195,-0.25217166613486625,9,10648,2017-01-02,2023-02-28
ASIANPAINT,NSE 1h stock,3.0,-0.6811305596247683,-0.08062797698511856,-0.13601111747929465,0.46168294515401953,0.9616829451540195,689,0.6429608127721336,7.134978229317852,59,311,378,-0.19595053476290197,-0.24091160927340127,9,10648,2017-01-02,2023-02-28
BAJFINANCE,NSE 1h stock,0.5,-0.23386208238406772,0.04098565685997079,-0.03448797920783151,0.13142073620926062,0.23784410927117391,178,0.5955056179775281,7.0,28,96,82,0.24741096422081787,-0.3098870472401176,1,9481,2017-09-01,2023-02-28
BAJFINANCE,NSE 1h stock,1.0,-0.9623180076536715,-0.6172756134459182,-0.15980708849052916,0.25682944837042504,0.45923425798966355,312,0.5961538461538461,7.80448717948718,58,160,152,0.049847339138101576,-0.7624231771127882,1,9481,2017-09-01,2023-02-28
BAJFINANCE,NSE 1h stock,1.5,-1.4118489944834378,-1.0153603272933598,-0.2783871608448439,0.3862461765636536,0.695918152093661,462,0.6082251082251082,7.926406926406926,58,227,235,-0.056859387939610706,-1.3547455732977123,1,9481,2017-09-01,2023-02-28
BAJFINANCE,NSE 1h stock,2.0,-1.278717763472099,-0.8493300987316702,-0.2794683856658806,0.44763210631789896,0.8553950005273705,547,0.6069469835466179,7.7586837294332724,58,267,280,-0.04802895789550238,-1.3046833631458061,5,9481,2017-09-01,2023-02-28
BAJFINANCE,NSE 1h stock,2.5,-1.2209555403556136,-0.7850761824897018,-0.2780658496209775,0.47347326231410186,0.9242695918152094,574,0.6097560975609756,7.820557491289199,58,283,291,0.07111529364301,-1.3895346108280737,5,9481,2017-09-01,2023-02-28
BAJFINANCE,NSE 1h stock,3.0,-1.4246897326140753,-1.0288656546452055,-0.3449379873092217,0.4849699398797595,0.9573884611327919,582,0.6065292096219931,7.900343642611684,58,287,295,-0.3292211312175892,-1.4711200561101152,5,9481,2017-09-01,2023-02-28
SP500,US daily,0.5,0.009108122281878723,0.0852029067798744,-0.0015726853971513432,0.16756112104949314,0.2772808586762075,100,0.65,8.43,47,51,49,0.07316079794145275,-0.011184271182447636,0,5031,1999-01-04,2018-12-31
SP500,US daily,1.0,0.007668013818145811,0.09297025194162116,-0.003841715293236929,0.2713178294573643,0.5215662890081495,163,0.6012269938650306,8.374233128834355,47,89,74,0.16826293246575103,-0.07210006283885573,0,5031,1999-01-04,2018-12-31
SP500,US daily,1.5,-0.02930692232780166,0.06171445763564075,-0.010075460207236205,0.3434704830053667,0.7205326972768833,211,0.6113744075829384,8.189573459715639,47,109,102,0.15079984830951304,-0.11324751278117973,0,5031,1999-01-04,2018-12-31
SP500,US daily,2.0,0.06759960434801637,0.1652652278672614,0.0007359228312710072,0.3913734843967402,0.8425760286225402,241,0.6182572614107884,8.1701244813278,47,125,116,0.3015179058806546,-0.014148813076388933,0,5031,1999-01-04,2018-12-31
SP500,US daily,2.5,0.16856971919324318,0.2670255752217811,0.013507174951880446,0.40011926058437686,0.9069767441860465,252,0.626984126984127,7.988095238095238,47,136,116,0.5829066119650295,-0.02669154307376176,0,5031,1999-01-04,2018-12-31
SP500,US daily,3.0,0.16462445775359333,0.26391387922342663,0.013011423792643676,0.4013118664281455,0.9196978731862453,255,0.6235294117647059,7.91764705882353,47,139,116,0.5758392703190638,-0.02669154307376176,0,5031,1999-01-04,2018-12-31
NASDAQ,US daily,0.5,0.01619604816090896,0.07092244971949861,-0.0017741049698410238,0.13416815742397137,0.2562114887696283,85,0.611764705882353,7.9411764705882355,30,46,39,0.10577551933946328,-0.038103958724035436,0,5031,1999-01-04,2018-12-31
NASDAQ,US daily,1.0,-0.09171685509218669,-0.0345777498965966,-0.020636886162499975,0.2727092029417611,0.5197773802424965,151,0.6026490066225165,9.086092715231787,37,80,71,-0.12108441813167237,-0.045767726751070714,0,5031,1999-01-04,2018-12-31
NASDAQ,US daily,1.5,-0.14238528643995765,-0.078373506345226,-0.0323258332928369,0.349632279864838,0.7084078711985689,193,0.6113989637305699,9.1139896373057,41,98,95,-0.1971183901998782,-0.13561786420232175,0,5031,1999-01-04,2018-12-31
NASDAQ,US daily,2.0,-0.09380955670832597,-0.026842364631994107,-0.029216824367344324,0.40568475452196384,0.8382031405287219,224,0.6160714285714286,9.111607142857142,41,112,112,-0.0975480344973011,-0.1042143567126208,0,5031,1999-01-04,2018-12-31
