instrument,trials,splits,pbo,median_logit,mean_oos_minus_is_sharpe
SP500,648,924,0.3041125541125541,1.9197534704065848,-0.3789359194728208
NASDAQ,648,924,0.7878787878787878,-0.6609604940640438,-0.6809319159023066
WTI,648,924,0.553030303030303,-0.21655940442274124,-0.5477587658843571
GOOG,648,924,0.4837662337662338,0.061652950033940265,-1.1771153876606955
EURUSD,648,924,0.045454545454545456,2.0351412827832553,-2.1755054572834784
