inst,variant,sharpe,cagr,win_rate,avg_win,avg_loss,trades,max_bars,payoff,expectancy
RELIANCE,"baseline (both sides, all bars)",-2.3878921489708,-0.2972646506012332,0.5784883720930233,0.006865388183607582,-0.023852955899720477,344,69,0.28782127516900474,-0.006082751037562674
RELIANCE,long only,-1.1683593199179632,-0.11510978976942055,0.6287425149700598,0.00698547478339629,-0.023170239023937573,167,51,0.3014847959133903,-0.004210059683997122
RELIANCE,long only + no opening bar,-1.1986233462256746,-0.10926690662671626,0.6,0.007052160745702254,-0.021320854343549106,155,51,0.33076351594869247,-0.00429704528999829
HDFCBANK,"baseline (both sides, all bars)",-1.1809690573204294,-0.16826854639733038,0.6594202898550725,0.005671439971494713,-0.018589440316351274,414,55,0.30508933431987806,-0.002591323604800658
HDFCBANK,long only,-0.08242520553119909,-0.010978203605185559,0.7114427860696517,0.005693909307325252,-0.014849653671801352,201,43,0.383437178614991,-0.000234083990134166
HDFCBANK,long only + no opening bar,-0.15854836695579647,-0.01658172558676227,0.7401129943502824,0.005398381778627558,-0.017179412306001635,177,42,0.314235532768582,-0.00046929352020262834
ICICIBANK,"baseline (both sides, all bars)",-0.8719654488520844,-0.1524538481664476,0.6555891238670695,0.007655377234534311,-0.021997251940014947,331,49,0.34801516368544666,-0.0025573107591170957
ICICIBANK,long only,-0.17819766021683783,-0.027265879970207314,0.6424242424242425,0.008189720201712696,-0.017002735665539618,165,28,0.48167073598110766,-0.0008184912902138887
ICICIBANK,long only + no opening bar,-0.04935507973207633,-0.011695423973027549,0.6754966887417219,0.008064983138298981,-0.017774508813729554,151,28,0.4537387346574298,-0.00032001756136590745
INFY,"baseline (both sides, all bars)",-0.5041428404436432,-0.07501509051874306,0.6600496277915633,0.006795560189046026,-0.015957352440438125,403,42,0.4258576235883054,-0.0009393009281731509
INFY,long only,-0.0775949982598506,-0.011557852307264723,0.7087912087912088,0.006750653208499861,-0.016676615533337474,182,42,0.40479755589525546,-7.1573403134087e-05
INFY,long only + no opening bar,-0.1360422588986083,-0.015182786119318097,0.7039473684210527,0.006725418064840727,-0.017065467260020735,152,41,0.3940951608513153,-0.0003179361431774686
TCS,"baseline (both sides, all bars)",-1.1749011263738014,-0.14966896824386008,0.6198830409356725,0.0066489545664780245,-0.018051063895189273,342,50,0.3683414232581612,-0.002739941340003697
TCS,long only,-0.5952578494677825,-0.05865514341465511,0.6705882352941176,0.005952469295314093,-0.01811415417033843,170,39,0.3286087354308347,-0.0019753596110185043
TCS,long only + no opening bar,-0.5876670752877041,-0.055642042533621566,0.7012987012987013,0.005694792275330792,-0.020276381568074587,154,38,0.2808584093868756,-0.0020628310804915936
ITC,"baseline (both sides, all bars)",-1.2637157792591789,-0.18669518592455403,0.6598984771573604,0.005793635295062499,-0.020146504144378338,394,50,0.28757521669977415,-0.0030286456310417453
ITC,long only,-0.5185887430140983,-0.06197937837731845,0.6903553299492385,0.005579053301829299,-0.018242902165283514,197,50,0.3058204912399471,-0.0017972882387487813
ITC,long only + no opening bar,-0.47603106006067675,-0.05531099794546628,0.6885245901639344,0.00574787542353118,-0.018185948097582446,183,50,0.31606135642140515,-0.0017069220666517532
LT,"baseline (both sides, all bars)",-0.6899477664250173,-0.10559231538701383,0.672514619883041,0.006562824113415814,-0.01861488600730654,342,38,0.35255784595403034,-0.0016825078559435528
LT,long only,0.4319250939656818,0.03506327722853406,0.7177914110429447,0.006614184615093329,-0.012456215876935657,163,32,0.530994700191442,0.0012323538013918963
LT,long only + no opening bar,0.3388661466911862,0.024973604913009064,0.7183098591549296,0.0063891902251759225,-0.01266359552337403,142,31,0.5045320828024691,0.0010222083241759367
AXISBANK,"baseline (both sides, all bars)",-0.7304974031525865,-0.1433957941604258,0.6690647482014388,0.007516414427458036,-0.021271399362938828,417,47,0.35335777864026613,-0.0020104879779970436
AXISBANK,long only,0.09876671171840821,0.004565678225895966,0.714975845410628,0.007809802681845021,-0.01862222920067446,207,47,0.41938065511309275,0.00027603514045057825
AXISBANK,long only + no opening bar,0.07538941483061715,0.0020932192377495075,0.7049180327868853,0.007915711387217288,-0.018188516764111044,183,46,0.43520378763574047,0.00021282439174335425
KOTAKBANK,"baseline (both sides, all bars)",-0.2450815504301994,-0.04972325022764791,0.6903073286052009,0.006711404997249466,-0.016819446560463944,423,41,0.39902650620059044,-0.0005759272818532685
KOTAKBANK,long only,0.14509263328951205,0.009981409001237751,0.7053140096618358,0.007181419679122439,-0.015843996264254957,207,40,0.4532581022708374,0.0003961521789001155
KOTAKBANK,long only + no opening bar,-0.056618901419841085,-0.011294172056447662,0.6976744186046512,0.0066344492016570155,-0.01628781594859354,172,40,0.40732589455800566,-0.00029553793679082743
BHARTIARTL,"baseline (both sides, all bars)",-0.5042164248180313,-0.10233056342833298,0.6824644549763034,0.008592239526029742,-0.023054450085183815,422,68,0.3726933192629754,-0.0014567093078627132
BHARTIARTL,long only,0.43153913983093395,0.04568097641949972,0.6941747572815534,0.009107289512706559,-0.015941285274417745,206,40,0.5713020848652495,0.0014468030486831079
BHARTIARTL,long only + no opening bar,0.26334914513096774,0.022911740140300143,0.672316384180791,0.008470700350296465,-0.014641239166287009,177,40,0.5785507807154153,0.0008972964409075307
SBIN,"baseline (both sides, all bars)",-1.6152977037290694,-0.2682839512047382,0.5483870967741935,0.008738547829353252,-0.023583158331236715,310,43,0.370541880210283,-0.0058583517270422185
SBIN,long only,-0.8527483993854257,-0.10210842141861097,0.5394736842105263,0.009383593929380402,-0.019862156760699197,152,37,0.47243580052431705,-0.004084843888419413
SBIN,long only + no opening bar,-0.8796934079072976,-0.10076532347348761,0.5220588235294118,0.009529351562872514,-0.019859466554808823,136,36,0.4798392512997814,-0.004516774743372241
MARUTI,"baseline (both sides, all bars)",-1.7217277308682029,-0.24158297554361738,0.6449864498644986,0.006703798359308815,-0.024582737366100255,369,58,0.2727034934910623,-0.004403345760009854
MARUTI,long only,-0.8025650339238731,-0.08172212147620703,0.6648648648648648,0.00670230401721847,-0.02118367885174591,185,45,0.3163899936420194,-0.0026432686199479713
MARUTI,long only + no opening bar,-0.9490454103938398,-0.09119690194788509,0.6463414634146342,0.006481934241335161,-0.021407744289903326,164,44,0.3027845509343214,-0.0033814886538589377
HINDUNILVR,"baseline (both sides, all bars)",-0.5597740485716594,-0.07588308220507645,0.6929133858267716,0.006234819704009795,-0.01782049688740256,381,55,0.3498678933255354,-0.0011522460209121088
HINDUNILVR,long only,0.1406719222140882,0.008167698307020453,0.7204301075268817,0.006094362105904315,-0.01439451042508352,186,42,0.4233809921929981,0.0003662902155206196
HINDUNILVR,long only + no opening bar,-0.04521300814399645,-0.006268102357897119,0.7125,0.005554178657015362,-0.014247154691038056,160,41,0.38984476391690537,-0.0001387046805499956
ASIANPAINT,"baseline (both sides, all bars)",-0.7358923828324931,-0.11710599300948864,0.6932989690721649,0.00682390877128044,-0.021055272275980207,388,49,0.32409501439053506,-0.001726664797338161
ASIANPAINT,long only,-0.42142464566388727,-0.053577971470646205,0.7028571428571428,0.006641785646347715,-0.021511891807148516,175,47,0.3087494910206184,-0.0017238785112625946
