instrument,variant,sharpe,beta,alpha_ann,alpha_t_stat_nw,long_share,short_share,long_pnl,short_pnl,long_sharpe,short_sharpe
SP500,switch (as specified),0.3470517093975857,0.25891894541817917,0.03476656469883618,1.263794014575973,0.2699264559729676,0.20989862850327967,1.0349236007124776,-0.016266032281888554,0.4292667328029894,-0.01136241673209366
SP500,mean-reversion leg only,0.36178735616117214,0.2607592703343745,0.03672738384463381,1.3356583182668265,0.27489564698867025,0.20274299344066785,1.0598873656962147,0.000400094825743047,0.4391721527062557,0.00028049023662937483
NASDAQ,switch (as specified),0.10361341258330438,0.20335980707904813,0.002068640227385035,0.052179062370018944,0.26535480023852115,0.24408666269131385,0.8164473810603661,-0.3715403441256975,0.260052374943099,-0.17199197836043695
NASDAQ,mean-reversion leg only,0.11018616890202441,0.20516165111421947,0.003139748923772462,0.07936256457471567,0.266944941363546,0.24130391572252038,0.8046067565116102,-0.3361826992531386,0.2562226690704271,-0.15631493925824427
WTI,switch (as specified),0.16061114899078763,0.041093017142534154,0.04279725772128818,0.89062885698723,0.2553779593798822,0.2427592837399351,1.0805214728849197,0.5479957794415573,0.15313612266116144,0.08380987142693053
WTI,mean-reversion leg only,0.14684213441701563,0.04014703876800329,0.03887742736435589,0.8102710785525828,0.2546568922004567,0.24311981732964788,1.0044368304152114,0.4911128059162032,0.1424697027019918,0.07504110617790377
GOOG,switch (as specified),-0.4912310108767492,0.05555430524007167,-0.13379941402065013,-1.6338146524236807,0.25232774674115455,0.24534450651769088,0.050483615300599916,-1.0319113669575248,0.03332425399650043,-0.7642079504461803
GOOG,mean-reversion leg only,-0.5191112330141084,0.05790645283469536,-0.14104275305830014,-1.7241646221297162,0.2541899441340782,0.24162011173184358,0.034206551976158295,-1.0712971692927638,0.02254829600846333,-0.7963205476389752
EURUSD,switch (as specified),-3.4313149688017064,-0.04648900723642015,-0.17091824208711556,-3.18760663096989,0.254,0.2752,-0.012902641341863077,-0.09484680746170432,-0.44550230351173825,-2.998048105423945
EURUSD,mean-reversion leg only,-3.590257360987117,-0.04658045672039435,-0.17904676544077117,-3.3385400642862604,0.2534,0.2748,-0.015812604779339816,-0.0986695373885334,-0.5463863145646971,-3.1207722704743808
