instrument,observed_sharpe,reps,perm_mean,perm_std,perm_p_value,perm_pct_positive,gbm_mean,gbm_std,gbm_p_value
SP500,0.3470517093975857,500,-0.032362700599942555,0.2341552024558056,0.046,0.446,-0.034450134625676886,0.2233299242063843,0.048
NASDAQ,0.10361341258330438,500,-0.04488870127498825,0.2349275924106697,0.25,0.422,-0.045651615212763244,0.2313993953811092,0.27
WTI,0.16061114899078763,500,-0.019566577328288544,0.17600587070691603,0.17,0.442,-0.028949777751372904,0.16964336906358934,0.124
GOOG,-0.4912310108767492,500,-0.054044582678114225,0.35016939786534806,0.902,0.416,-0.04680991629169404,0.34508453721795124,0.898
EURUSD,-3.4313149688017064,500,-2.2125425684459974,1.0214680064055353,0.884,0.008,-2.2649375014804627,1.023509281170093,0.874
