instrument,configs,best,median,mean,worst,pct_positive,pct_above_0_5
EURUSD,648,0.8707024688685153,-2.9849064478340575,-2.847841891021799,-7.9940516185452415,0.021604938271604937,0.006172839506172839
GOOG,648,0.44162080250542257,-0.3563012852858903,-0.3500394824406368,-0.9399844693603338,0.0787037037037037,0.0
NASDAQ,648,0.34893065265581763,0.07105484564456943,0.05229394160521935,-0.4036964733701497,0.7037037037037037,0.0
SP500,648,0.7257702554036509,0.2308883178322495,0.1990558770283111,-0.519823769860491,0.8611111111111112,0.015432098765432098
WTI,648,0.43554922086835274,0.0860016457661244,0.09030724540198842,-0.2525883106874027,0.7453703703703703,0.0
