instrument,year,strategy,buy_hold,sharpe,bars
SP500,1999,0.07842771982191232,0.19636025463125772,0.8370951007520754,252
SP500,2000,0.2611632143224918,-0.10139184686064429,1.5940951565111925,252
SP500,2001,-0.0009638805025782293,-0.13042693157331564,0.07435441145053111,248
SP500,2002,0.006063766955767713,-0.23365963981693194,0.12794155684217037,252
SP500,2003,-0.06216400493788066,0.26380399985607617,-0.40696468597791763,252
SP500,2004,-0.03569155957776138,0.08993452410504443,-0.37696646577461507,252
SP500,2005,0.028013248342037222,0.030010226483225377,0.3503751390076563,252
SP500,2006,-0.07930103430975322,0.1361943175771818,-1.1877925822527737,251
SP500,2007,0.08480123074395496,0.035295730290143545,0.7232621411410004,251
SP500,2008,-0.05075385988470438,-0.3848579304617866,-0.03999605461660121,253
SP500,2009,0.3950951422677129,0.23454190534182318,1.6791485904941317,252
SP500,2010,0.057070172425734755,0.12782713843408877,0.4825467088784146,252
SP500,2011,0.043895820926246776,-3.1836614232227944e-05,0.33076164789647866,252
SP500,2012,-0.06669885488861349,0.13405690856978758,-0.6811617554301695,250
SP500,2013,0.11746463224379133,0.29601249585590916,1.4634947247029801,252
SP500,2014,0.09065014603269295,0.11390633789337223,1.2069371257838808,252
SP500,2015,0.0009533179507099643,-0.0072659972373918524,0.06609050438325376,252
SP500,2016,0.011915850581361687,0.09535022682938954,0.16399672340014554,252
SP500,2017,0.023539288231116506,0.19419965511112247,0.5323644206311141,251
SP500,2018,-0.005804262923265302,-0.06237259821968333,0.029896109826915006,251
NASDAQ,1999,-0.17303758207233133,0.8429428539642645,-1.5993700590345747,252
NASDAQ,2000,0.20900862311954582,-0.39288970754734975,0.6680285527425339,252
NASDAQ,2001,-0.03399242313226625,-0.21053057323534707,0.002649214679412171,248
NASDAQ,2002,-0.025434612719113736,-0.315263538983631,0.036343953366646205,252
NASDAQ,2003,0.1286014808365028,0.5000786066740146,0.8052197310748503,252
NASDAQ,2004,-0.02672797727027809,0.08589024814659707,-0.15326241029037585,252
NASDAQ,2005,-0.09275591908748904,0.013735211180439633,-0.8017281881787757,252
NASDAQ,2006,-0.08660549417501007,0.09521065628828218,-0.8198846573204339,251
NASDAQ,2007,0.06036774336035844,0.09812071683867707,0.4659927179851915,251
NASDAQ,2008,-0.29412730190959024,-0.4054059104782398,-0.8362789407126562,253
NASDAQ,2009,0.16304164739169646,0.4388755193449767,0.8199639813565717,252
NASDAQ,2010,-0.055535285218135,0.16910307012410164,-0.31005717302027624,252
NASDAQ,2011,0.16168624895416106,-0.017988146006172268,0.8736934884479199,252
NASDAQ,2012,-0.12974050742236887,0.15905422858081586,-1.1227153757922543,250
NASDAQ,2013,0.11908354966134826,0.38320119163969935,1.6550330775645712,252
NASDAQ,2014,0.03191169422977769,0.1339513770555416,0.34091220358215124,252
NASDAQ,2015,0.12568206861004194,0.057296768862845404,1.0838475868469974,252
NASDAQ,2016,0.02968502520421601,0.07503079422200276,0.29221092083221506,252
NASDAQ,2017,0.09242347643854631,0.2824142852021747,1.5302751592866277,251
NASDAQ,2018,-0.0079963766473784,-0.038837490954340304,0.04127300295333952,251
WTI,1986,0.5872068640568531,-0.2985133020344294,1.5709771388824054,251
WTI,1987,0.09701158661560738,-0.0663692136084787,0.5716033047427747,254
WTI,1988,0.22571294975228473,0.022700119474313718,0.836426240126619,257
WTI,1989,0.357046233116493,0.27570093457944034,1.3722600162386214,257
WTI,1990,-0.6658437135989328,0.3040293040293034,-1.6311650903849733,257
WTI,1991,0.2317329255779521,-0.3275983146067425,0.8626855359450605,256
WTI,1992,-0.036293576032339514,0.017754569190598035,-0.16087678552260684,257
WTI,1993,-0.12466807287614046,-0.27193432529502215,-0.5974155681649974,250
WTI,1994,0.11735347358285608,0.25229034531360117,0.5831819891925714,252
WTI,1995,-0.0022985618799935548,0.09960607765897778,0.07341935684020973,251
WTI,1996,0.35308718304725617,0.3254861821903796,1.135530841789503,254
WTI,1997,-0.13303806556614672,-0.318532818532818,-0.592955417772406,252
WTI,1998,0.872943266926961,-0.3121813031161472,1.8275394292483194,251
WTI,1999,-0.06975928859794489,1.1219110378912678,-0.1325560397042394,251
WTI,2000,0.1645615516623482,0.03726708074533969,0.6415968609245076,250
WTI,2001,0.7010080635450695,-0.2529940119760483,2.5559898335776374,250
WTI,2002,-0.1789811030470304,0.5636272545090164,-0.6183982125850377,250
WTI,2003,-0.18443602521582414,0.041653316244793626,-0.3073763806529975,250
WTI,2004,0.24118860156213962,0.33374346354967654,0.931558903419512,249
WTI,2005,0.009168199951697487,0.40821033210332125,0.16774906393931216,251
WTI,2006,-0.17020852886332294,-0.003439240091712148,-0.8131709824431216,249
WTI,2007,0.2741871979069148,0.576828266228431,1.29036856062862,252
WTI,2008,-0.07446693688383632,-0.5351745700885886,0.03550505076249021,253
WTI,2009,-0.06067012348335887,0.7800448430493281,0.11374632876959652,252
