instrument,observed_sharpe,reps,null_mean,null_std,p_value,null_p95
SP500,0.3470517093975857,500,-0.04252452747385194,0.22887826824334298,0.066,0.36005679033351845
NASDAQ,0.10361341258330438,500,-0.020744583733468245,0.2235043685249715,0.304,0.33401055209846153
WTI,0.16061114899078763,500,-0.004045123062732356,0.1646728654041156,0.148,0.2734913104508092
GOOG,-0.4912310108767492,500,-0.00534465494426169,0.3220276043188417,0.926,0.5286743832942441
EURUSD,-3.4313149688017064,500,-2.187891962836892,0.9812303858202489,0.892,-0.6683293689322112
