inst,variant,sharpe,cagr,win_rate,avg_win,avg_loss,trades,payoff,exp,needs
RELIANCE,"09:15 bars, both sides",-2.3878921489708,-0.2972646506012332,0.5784883720930233,0.006865388183607582,-0.023852955899720477,344,0.28782127516900474,-0.006082751037562674,0.728643216080402
RELIANCE,"09:15 bars, long only",-1.1683593199179632,-0.11510978976942055,0.6287425149700598,0.00698547478339629,-0.023170239023937573,167,0.3014847959133903,-0.004210059683997122,0.5904761904761906
RELIANCE,"09:30 bars, long only",-1.0182000679802634,-0.09167353238779201,0.5826771653543307,0.007139746184247527,-0.0204850705483979,127,0.34853412720152493,-0.00438872064118718,0.7162162162162163
HDFCBANK,"09:15 bars, both sides",-1.1809690573204294,-0.16826854639733038,0.6594202898550725,0.005671439971494713,-0.018589440316351274,414,0.30508933431987806,-0.002591323604800658,0.5164835164835164
HDFCBANK,"09:15 bars, long only",-0.08242520553119909,-0.010978203605185559,0.7114427860696517,0.005693909307325252,-0.014849653671801352,201,0.383437178614991,-0.000234083990134166,0.4055944055944056
HDFCBANK,"09:30 bars, long only",-0.37970940686693316,-0.03737091952014706,0.6754966887417219,0.0061239395510041825,-0.017096025130846737,151,0.35820838493941043,-0.001411015875556712,0.48039215686274506
ICICIBANK,"09:15 bars, both sides",-0.8719654488520844,-0.1524538481664476,0.6555891238670695,0.007655377234534311,-0.021997251940014947,331,0.34801516368544666,-0.0025573107591170957,0.5253456221198157
ICICIBANK,"09:15 bars, long only",-0.17819766021683783,-0.027265879970207314,0.6424242424242425,0.008189720201712696,-0.017002735665539618,165,0.48167073598110766,-0.0008184912902138887,0.5566037735849055
ICICIBANK,"09:30 bars, long only",-0.126570141952386,-0.02219263857316802,0.6827586206896552,0.008236778469987553,-0.020177794465520257,145,0.4082100491241761,-0.0007774998405873377,0.4646464646464646
INFY,"09:15 bars, both sides",-0.5041428404436432,-0.07501509051874306,0.6600496277915633,0.006795560189046026,-0.015957352440438125,403,0.4258576235883054,-0.0009393009281731509,0.5150375939849624
INFY,"09:15 bars, long only",-0.0775949982598506,-0.011557852307264723,0.7087912087912088,0.006750653208499861,-0.016676615533337474,182,0.40479755589525546,-7.1573403134087e-05,0.4108527131782945
INFY,"09:30 bars, long only",-0.592704809433317,-0.05871198637630861,0.6046511627906976,0.00670173177234066,-0.01606574379134655,129,0.41714419571102557,-0.0022993632179542844,0.653846153846154
TCS,"09:15 bars, both sides",-1.1749011263738014,-0.14966896824386008,0.6198830409356725,0.0066489545664780245,-0.018051063895189273,342,0.3683414232581612,-0.002739941340003697,0.6132075471698114
TCS,"09:15 bars, long only",-0.5952578494677825,-0.05865514341465511,0.6705882352941176,0.005952469295314093,-0.01811415417033843,170,0.3286087354308347,-0.0019753596110185043,0.49122807017543874
TCS,"09:30 bars, long only",-0.40448904761772264,-0.04295875428955939,0.6066666666666667,0.007281403725320037,-0.0154290217404754,150,0.47192905991042317,-0.0016513636245595008,0.6483516483516483
