sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,stop_sigma,max_hold
-2.6386689072505862,-0.2549500182383063,0.5465162225051587,1173,0.5575447570332481,10.609548167092925,61,0.00399619633937149,-0.012302225580842128,-1.36169517604375,-2.409647494464361,22777,NIFTY,0.0,0
-2.6702270780085584,-0.25293631422269086,0.5175396233042104,1245,0.5558232931726907,9.465863453815262,20,0.004057753789881031,-0.01183023385917383,-1.435029014748741,-2.2991246867767146,22777,NIFTY,0.0,20
-2.637142478780496,-0.2547385406522504,0.5460332791851429,1173,0.5575447570332481,10.600170502983802,50,0.00399619633937149,-0.012294932693383538,-1.36169517604375,-2.405862485873352,22777,NIFTY,0.0,50
-3.7063922942926966,-0.3054763188287102,0.39632084998024325,2406,0.35827098919368244,3.7506234413965087,16,0.005223824109536762,-0.005950268526818761,-2.1253262593446802,-2.558951963642798,22777,NIFTY,1.0,0
-3.7063922942926966,-0.3054763188287102,0.39632084998024325,2406,0.35827098919368244,3.7506234413965087,16,0.005223824109536762,-0.005950268526818761,-2.1253262593446802,-2.558951963642798,22777,NIFTY,1.0,20
-3.7063922942926966,-0.3054763188287102,0.39632084998024325,2406,0.35827098919368244,3.7506234413965087,16,0.005223824109536762,-0.005950268526818761,-2.1253262593446802,-2.558951963642798,22777,NIFTY,1.0,50
-3.681905168374217,-0.3138834194684662,0.4458444922509549,1975,0.4465822784810127,5.140253164556962,18,0.004593535618411503,-0.008135123156701805,-2.1315748346442445,-2.7086163601918836,22777,NIFTY,1.5,0
-3.681905168374217,-0.3138834194684662,0.4458444922509549,1975,0.4465822784810127,5.140253164556962,18,0.004593535618411503,-0.008135123156701805,-2.1315748346442445,-2.7086163601918836,22777,NIFTY,1.5,20
-3.681905168374217,-0.3138834194684662,0.4458444922509549,1975,0.4465822784810127,5.140253164556962,18,0.004593535618411503,-0.008135123156701805,-2.1315748346442445,-2.7086163601918836,22777,NIFTY,1.5,50
-3.541408353802196,-0.31156947226013065,0.4850946129867849,1704,0.49061032863849763,6.482394366197183,21,0.004271701416382092,-0.00963800847855859,-2.0936999629787887,-2.7009490123146387,22777,NIFTY,2.0,0
-3.5383281808917433,-0.3113292365425558,0.48505070904860165,1704,0.49061032863849763,6.481807511737089,20,0.004271701416382092,-0.00963271358605332,-2.0936999629787887,-2.6963530456200635,22777,NIFTY,2.0,20
-3.541408353802196,-0.31156947226013065,0.4850946129867849,1704,0.49061032863849763,6.482394366197183,21,0.004271701416382092,-0.00963800847855859,-2.0936999629787887,-2.7009490123146387,22777,NIFTY,2.0,50
-3.178529773623749,-0.29306379125955007,0.5135882688677175,1405,0.5338078291814946,8.323843416370106,28,0.004112766654402996,-0.01150407773240421,-1.8667974760756874,-2.583798447846824,22777,NIFTY,3.0,0
-3.1415701366871067,-0.29002390849523557,0.5129736137331519,1408,0.5340909090909091,8.296164772727273,20,0.004129155720468074,-0.01143246679128251,-1.8604992618160756,-2.534073851473259,22777,NIFTY,3.0,20
-3.178529773623749,-0.29306379125955007,0.5135882688677175,1405,0.5338078291814946,8.323843416370106,28,0.004112766654402996,-0.01150407773240421,-1.8667974760756874,-2.583798447846824,22777,NIFTY,3.0,50
-2.939589654433063,-0.27720216768302175,0.5281643763445582,1282,0.5491419656786272,9.381435257410297,35,0.004077725072834509,-0.012171190884010351,-1.6274907424643248,-2.536739137218162,22777,NIFTY,4.0,0
-2.874577327153006,-0.27054980861411543,0.5180225666242262,1295,0.5505791505791506,9.108880308880309,20,0.004116223858458361,-0.0119906995460372,-1.6436661729659972,-2.400053351746843,22777,NIFTY,4.0,20
-2.939589654433063,-0.27720216768302175,0.5281643763445582,1282,0.5491419656786272,9.381435257410297,35,0.004077725072834509,-0.012171190884010351,-1.6274907424643248,-2.536739137218162,22777,NIFTY,4.0,50
-2.3900073206061,-0.3324737030325179,0.5281144181072892,1164,0.5867697594501718,10.18298969072165,84,0.005707858920869054,-0.018565612268197883,-1.6985910553328591,-3.333000802716758,22444,BANKNIFTY,0.0,0
-2.3987147807995832,-0.3193537634856015,0.49946533594724646,1221,0.5814905814905815,9.180999180999182,20,0.005800441987214042,-0.01747729052682797,-1.5712701418970267,-3.2413115063900957,22444,BANKNIFTY,0.0,20
-2.406057157155875,-0.33190342456552524,0.5257975405453573,1165,0.5862660944206008,10.129613733905579,50,0.005707858920869054,-0.01849168792216483,-1.7094447025069195,-3.3050812330229644,22444,BANKNIFTY,0.0,50
-3.0074770379416917,-0.35277516894403144,0.3888789877027268,2356,0.36969439728353143,3.704584040747029,16,0.007609465104005507,-0.008131887314100427,-2.2828190254360234,-3.165189530414314,22444,BANKNIFTY,1.0,0
-3.0074770379416917,-0.35277516894403144,0.3888789877027268,2356,0.36969439728353143,3.704584040747029,16,0.007609465104005507,-0.008131887314100427,-2.2828190254360234,-3.165189530414314,22444,BANKNIFTY,1.0,20
-3.0074770379416917,-0.35277516894403144,0.3888789877027268,2356,0.36969439728353143,3.704584040747029,16,0.007609465104005507,-0.008131887314100427,-2.2828190254360234,-3.165189530414314,22444,BANKNIFTY,1.0,50
-3.273320197759085,-0.38881849378466277,0.4353056496168241,1981,0.4568399798081777,4.931852599697122,18,0.006714075405603294,-0.011390748137541618,-2.5496100908959503,-3.6305966630278506,22444,BANKNIFTY,1.5,0
-3.273320197759085,-0.38881849378466277,0.4353056496168241,1981,0.4568399798081777,4.931852599697122,18,0.006714075405603294,-0.011390748137541618,-2.5496100908959503,-3.6305966630278506,22444,BANKNIFTY,1.5,20
-3.273320197759085,-0.38881849378466277,0.4353056496168241,1981,0.4568399798081777,4.931852599697122,18,0.006714075405603294,-0.011390748137541618,-2.5496100908959503,-3.6305966630278506,22444,BANKNIFTY,1.5,50
-3.1875127013124165,-0.38663056484873365,0.46342006772411337,1699,0.5079458505002943,6.121836374337846,19,0.006180710942220406,-0.013718952690391322,-2.495642184355673,-3.6394487216752616,22444,BANKNIFTY,2.0,0
-3.1875127013124165,-0.38663056484873365,0.46342006772411337,1699,0.5079458505002943,6.121836374337846,19,0.006180710942220406,-0.013718952690391322,-2.495642184355673,-3.6394487216752616,22444,BANKNIFTY,2.0,20
-3.1875127013124165,-0.38663056484873365,0.46342006772411337,1699,0.5079458505002943,6.121836374337846,19,0.006180710942220406,-0.013718952690391322,-2.495642184355673,-3.6394487216752616,22444,BANKNIFTY,2.0,50
-2.7675220360334722,-0.3555284084216992,0.49171270718232046,1389,0.5521958243340532,7.94528437724982,25,0.0059126197854414125,-0.016157521227645084,-2.018359214114479,-3.4966396140472007,22444,BANKNIFTY,3.0,0
-2.758368292606793,-0.35448132872181115,0.49055426840135447,1390,0.5517985611510792,7.920863309352518,20,0.005930497228771574,-0.016118949578363847,-2.0254315503035043,-3.4679826625493755,22444,BANKNIFTY,3.0,20
-2.7675220360334722,-0.3555284084216992,0.49171270718232046,1389,0.5521958243340532,7.94528437724982,25,0.0059126197854414125,-0.016157521227645084,-2.018359214114479,-3.4966396140472007,22444,BANKNIFTY,3.0,50
-2.5472184123485753,-0.3357990071741656,0.5050347531634289,1264,0.567246835443038,8.967563291139241,33,0.005821151857780515,-0.017002753329260576,-1.7897381961394716,-3.3370019929374326,22444,BANKNIFTY,4.0,0
-2.554420313260497,-0.33515276122489795,0.4979058991267154,1272,0.5668238993710691,8.785377358490566,20,0.005833311134241495,-0.016917027006734083,-1.8190434318423896,-3.2964211210799705,22444,BANKNIFTY,4.0,20
-2.5472184123485753,-0.3357990071741656,0.5050347531634289,1264,0.567246835443038,8.967563291139241,33,0.005821151857780515,-0.017002753329260576,-1.7897381961394716,-3.3370019929374326,22444,BANKNIFTY,4.0,50
-2.774623987963261,-0.4354294840217037,0.5293177974065025,557,0.5727109515260324,10.100538599640933,69,0.006996857793900061,-0.023428527603752136,-1.0716432736595616,-2.272348659779327,10642,RELIANCE,0.0,0
-2.9283390398689906,-0.43990589018294857,0.5011276075925578,587,0.5792163543441227,9.073253833049403,20,0.007177123584303514,-0.023657014840379537,-1.1328381980933644,-2.2702224488171856,10642,RELIANCE,0.0,20
-2.767691543856075,-0.4344370560269815,0.5289419282089832,559,0.5724508050089445,10.057245080500895,50,0.007029321387913528,-0.023347058225786393,-1.0858296996551147,-2.244734372175503,10642,RELIANCE,0.0,50
-3.7066257460058094,-0.4772670122605819,0.38131930088329263,1212,0.35066006600660066,3.3465346534653464,18,0.00937843953282984,-0.009955054550150277,-1.4272332401587682,-2.4215578893568184,10642,RELIANCE,1.0,0
-3.7066257460058094,-0.4772670122605819,0.38131930088329263,1212,0.35066006600660066,3.3465346534653464,18,0.00937843953282984,-0.009955054550150277,-1.4272332401587682,-2.4215578893568184,10642,RELIANCE,1.0,20
-3.7066257460058094,-0.4772670122605819,0.38131930088329263,1212,0.35066006600660066,3.3465346534653464,18,0.00937843953282984,-0.009955054550150277,-1.4272332401587682,-2.4215578893568184,10642,RELIANCE,1.0,50
-4.339713245502472,-0.5541345713892353,0.43638413831986467,1027,0.433300876338851,4.52093476144109,20,0.008166249277991769,-0.014499931947938334,-1.847658489467987,-2.9573209755257865,10642,RELIANCE,1.5,0
-4.339713245502472,-0.5541345713892353,0.43638413831986467,1027,0.433300876338851,4.52093476144109,20,0.008166249277991769,-0.014499931947938334,-1.847658489467987,-2.9573209755257865,10642,RELIANCE,1.5,20
-4.339713245502472,-0.5541345713892353,0.43638413831986467,1027,0.433300876338851,4.52093476144109,20,0.008166249277991769,-0.014499931947938334,-1.847658489467987,-2.9573209755257865,10642,RELIANCE,1.5,50
-4.035899686781435,-0.534679994437854,0.4612854726555159,863,0.48667439165701043,5.6859791425260715,20,0.007502373679803335,-0.017358177454822293,-1.6258799952937375,-2.912795671675137,10642,RELIANCE,2.0,0
-4.035899686781435,-0.534679994437854,0.4612854726555159,863,0.48667439165701043,5.6859791425260715,20,0.007502373679803335,-0.017358177454822293,-1.6258799952937375,-2.912795671675137,10642,RELIANCE,2.0,20
-4.035899686781435,-0.534679994437854,0.4612854726555159,863,0.48667439165701043,5.6859791425260715,20,0.007502373679803335,-0.017358177454822293,-1.6258799952937375,-2.912795671675137,10642,RELIANCE,2.0,50
-3.5796488835846176,-0.5099614129756571,0.498966359706822,698,0.5372492836676218,7.597421203438396,24,0.007018399413748283,-0.02121333938069348,-1.384253722443327,-2.8357551173650615,10642,RELIANCE,3.0,0
-3.569432244469003,-0.5088508576903489,0.4976508175155046,700,0.5385714285714286,7.555714285714286,20,0.007064933374859546,-0.02126440612854085,-1.3869752581969537,-2.8179480389996923,10642,RELIANCE,3.0,20
