spec,SP500,trades,exposure,NASDAQ,WTI,GOOG,EURUSD,daily_mean,n_pos_daily
R0  fade everywhere (no regime filter),0.37517443492232694,80,0.42019479228781553,0.1246029795680072,0.023745281757447344,-0.48870115699015454,-3.337491911787488,0.008705384814406733,3
R1  fade only in SIDEWAYS,0.7331356751437585,45,0.20691711389385808,0.38044234950754924,-0.010223684228683888,-0.40460595911231484,-3.5901680365060287,0.1746870953275773,2
R2  fade unless the tape is high-intensity,0.5499278551286355,75,0.37050288213078914,0.15627185707222302,-0.02654915298076118,-0.5141351094102241,-3.7873365640459564,0.0413788624524683,2
R3  R2 + follow the trend in H_BULL / H_BEAR,-0.330123570536145,432,0.3359173126614987,-0.7302227184164013,-0.36614417730438675,-0.6516552938285752,-12.53421341667176,-0.5195364400213771,0
R4  R3 + 2.0s outer-band cap on new fades,-0.2841662203109257,411,0.30550586364539856,-0.7364887776889019,-0.38092488037189326,-0.6934288335371563,-12.347307047489759,-0.5237521779772193,0
R5  R1 + 2.0s outer-band cap,0.7325672180495507,39,0.17113893858079904,0.5057976018247268,-0.04007900368681862,-0.39116249432545486,-2.594797138291402,0.20178083046550105,2
R6  trend leg only (H_BULL / H_BEAR),-0.8980679096968457,306,0.1343669250645995,-0.9150753226883712,-0.277491153539108,-0.11247495413812438,-13.040232747450473,-0.5507773350156123,0
R7  R4 but exiting at the 0.3s inner band,-0.515944273744448,427,0.24130391572252038,-0.8228673574922314,-0.35246848057410346,-0.754878588885213,-14.107313012555776,-0.611539675173999,0
