sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,outer,inner,bb_len
-5.704214556280126,-0.5162570888570973,0.705799710234008,3048,0.5593832020997376,5.2736220472440944,52,0.0016699872846099206,-0.009093855080754817,-3.9340475554820507,-5.431671497711754,22777,NIFTY,1.0,0.0,10
-3.692464030328944,-0.3908516152300257,0.7616455196031084,1711,0.5908825248392753,10.111630625365283,69,0.0027330684685223576,-0.012989810929524906,-2.493470880312286,-3.836264548679045,22777,NIFTY,1.0,0.0,20
-1.7149229062008415,-0.22828671482049354,0.8062080168591123,782,0.6163682864450127,23.43222506393862,159,0.005407058715117995,-0.019358892092166957,-1.0410150087826047,-2.160450318180609,22777,NIFTY,1.0,0.0,50
-1.062551989791875,-0.1526236796938584,0.7861439171093647,404,0.6584158415841584,44.23514851485149,278,0.0077794085297677226,-0.029598707299193307,-0.4190879901387529,-1.5962109482317093,22777,NIFTY,1.0,0.0,100
-6.642521811172533,-0.554001320718055,0.6570224349124116,3604,0.5335738068812431,4.151775804661487,39,0.0011805353994454762,-0.007557222793079686,-4.454993188480795,-5.9785287535525065,22777,NIFTY,1.0,0.3,10
-4.363593066461681,-0.42686424696756187,0.7089168898450191,2118,0.5826251180358829,7.620868744098206,60,0.001944439774270824,-0.010815871825429216,-2.8861484529410726,-4.275643559288158,22777,NIFTY,1.0,0.3,20
-2.091989325464757,-0.2597976248782913,0.7495719366027133,989,0.6299292214357938,17.22548028311426,117,0.00378282874103516,-0.016730943820344762,-1.415681393345281,-2.351141739235998,22777,NIFTY,1.0,0.3,50
-1.3457817094697706,-0.17853204701943637,0.725424770601923,501,0.6646706586826348,32.91017964071856,264,0.005651446512628133,-0.025747029310156076,-0.6222989832007314,-1.8212702522003203,22777,NIFTY,1.0,0.3,100
-7.985742470040776,-0.6038350340411338,0.5995521798305308,4443,0.450371370695476,3.073148773351339,26,0.0007087011918508268,-0.005484949225129622,-5.362613496408503,-6.61352142646453,22777,NIFTY,1.0,0.6,10
-5.324736293777486,-0.476610650868048,0.6431048865083198,2819,0.5658034764100744,5.195104647037957,45,0.001117311213624259,-0.008279651913511741,-3.554216435507265,-4.797966120900411,22777,NIFTY,1.0,0.6,20
-2.704707293063779,-0.30532844088696265,0.686174649866093,1434,0.6506276150627615,10.873082287308229,89,0.0021769296652360964,-0.013261899520675866,-1.8355328087114127,-2.7776034734819177,22777,NIFTY,1.0,0.6,50
-1.7511300550137958,-0.21452898587889538,0.6644422004653817,752,0.6742021276595744,20.07845744680851,211,0.003242097347740958,-0.019017079866268816,-1.0638861417524783,-1.9515550701787152,22777,NIFTY,1.0,0.6,100
