instrument,period,bars,ac1,vr5,vr20,lower_t,lower_excess,R5_sharpe,trades
SP500,1999-2011,3271,-0.08320974886505969,0.8123771113907954,0.6863079674987627,2.6887764104942953,0.006027095364821537,0.808283605015362,24
SP500,2012-2018,1760,-0.009364033861741543,0.9211537593492338,0.6761551686473672,2.6339240452857418,0.004842700233168482,0.5569167157456936,12
NASDAQ,1999-2011,3271,-0.0363552021623634,0.8777491754784783,0.8306083697136218,0.46895256471856106,0.001268291262168332,0.56116718500127,31
NASDAQ,2012-2018,1760,-0.001600887927413778,0.9321689836474968,0.7086161869444969,3.2378911459462074,0.007128840220674279,0.8138969505130768,5
NIFTY50,2012-2018,1685,0.07119408243242371,1.0482258323017941,0.9515812949074929,1.4100868591649545,0.0028034929214618217,-0.3081620103717992,9
NIFTY50,2019-2026,1898,-0.05245924293086681,0.9524866827206159,1.0437882648019305,-2.0908557815940734,-0.006248073454110384,-0.3878930030652827,18
BANKNIFTY,2012-2018,1685,0.07556697762478211,1.0579114199026274,1.045015003140452,1.3636207088535448,0.003421897306523119,-0.49331405204313483,13
BANKNIFTY,2019-2026,1898,0.013571658601988097,1.0182029230603895,1.1295802126308396,-1.816156119978199,-0.008856022661583888,-0.30171216733016737,20
