sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,group,lrc_dev,gate,bps,inside_pct
-1.971414977434001,-0.11948238070737983,0.1861087939588181,355,0.504225352112676,11.940845070422535,61,0.004134691544534183,-0.013534867648900002,-0.6402595583346793,-1.0017673614001024,22777,NIFTY,NSE 1h,0.5,True,0.0,0.22794924704746017
-2.149771124858415,-0.12902681804247124,0.1861087939588181,355,0.49577464788732395,11.940845070422535,61,0.003801323489057498,-0.013704244993345818,-0.7122595583346794,-1.0717673614001026,22777,NIFTY,NSE 1h,0.5,True,2.0,0.22794924704746017
-2.4170030838307257,-0.14315334116752126,0.1861087939588181,355,0.4591549295774648,11.940845070422535,61,0.0034739710169969257,-0.013350438518256671,-0.8202595583346792,-1.1767673614001026,22777,NIFTY,NSE 1h,0.5,True,5.0,0.22794924704746017
-2.4811229984138206,-0.26206905880344644,0.5828686833208939,1252,0.5670926517571885,10.601437699680512,61,0.00431178139599992,-0.01276717774165203,-1.4336175190335947,-2.424828025781862,22777,NIFTY,NSE 1h,0.5,False,0.0,0.22794924704746017
-2.8129185339393405,-0.28990405396660557,0.5828686833208939,1252,0.5535143769968051,10.601437699680512,61,0.004013001796867292,-0.012773266171814832,-1.6820175190335949,-2.6772280257818624,22777,NIFTY,NSE 1h,0.5,False,2.0,0.22794924704746017
-3.3120804456348916,-0.3297099919335967,0.5828686833208939,1252,0.5199680511182109,10.601437699680512,61,0.0036502636015792824,-0.012457183276944377,-2.0546175190335947,-3.055828025781862,22777,NIFTY,NSE 1h,0.5,False,5.0,0.22794924704746017
-2.123749564435074,-0.16436861944910805,0.3261184528252184,664,0.536144578313253,11.18222891566265,61,0.004456424386734234,-0.012656973973317786,-0.8712605722118454,-1.4406003298926453,22777,NIFTY,NSE 1h,1.0,True,0.0,0.4797383325284278
-2.3792697632041633,-0.18124093276341152,0.3261184528252184,664,0.5286144578313253,11.18222891566265,61,0.004116888119219912,-0.012851401380034119,-1.0076605722118455,-1.5698003298926453,22777,NIFTY,NSE 1h,1.0,True,2.0,0.4797383325284278
-2.7634376609813263,-0.20591886911795373,0.3261184528252184,664,0.49849397590361444,11.18222891566265,61,0.003741879276886129,-0.012655924753014412,-1.2122605722118454,-1.7636003298926453,22777,NIFTY,NSE 1h,1.0,True,5.0,0.4797383325284278
-2.4811229984138206,-0.26206905880344644,0.5828686833208939,1252,0.5670926517571885,10.601437699680512,61,0.00431178139599992,-0.01276717774165203,-1.4336175190335947,-2.424828025781862,22777,NIFTY,NSE 1h,1.0,False,0.0,0.4797383325284278
-2.8129185339393405,-0.28990405396660557,0.5828686833208939,1252,0.5535143769968051,10.601437699680512,61,0.004013001796867292,-0.012773266171814832,-1.6820175190335949,-2.6772280257818624,22777,NIFTY,NSE 1h,1.0,False,2.0,0.4797383325284278
