sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,dir,bps
-2.2996756755207652,-0.22762044094317016,0.5465162225051587,1173,0.5694799658994032,10.609548167092925,61,0.004307917817500588,-0.012237290638808917,-1.1284951760437498,-2.1736474944643613,22777,NIFTY,FADE,0.0
-2.6386689072505862,-0.2549500182383063,0.5465162225051587,1173,0.5575447570332481,10.609548167092925,61,0.00399619633937149,-0.012302225580842128,-1.36169517604375,-2.409647494464361,22777,NIFTY,FADE,2.0
-3.148960609865606,-0.2941514915053727,0.5465162225051587,1173,0.526001705029838,10.609548167092925,61,0.0036150552976230784,-0.012060488829391279,-1.71149517604375,-2.763647494464361,22777,NIFTY,FADE,5.0
-3.9996045906550073,-0.354980743782572,0.5465162225051587,1173,0.46547314578005117,10.609548167092925,61,0.003017847794132188,-0.011636184315955799,-2.2944951760437498,-3.353647494464361,22777,NIFTY,FADE,10.0
-11.319049286803338,-0.8747151347697661,0.1507661237212978,3217,0.00031084861672365556,1.0674541498290333,29,0.001221225892943542,-0.008331845147758643,-12.994185410372573,-13.79980735892628,22777,NIFTY,BREAK,0.0
-11.75642287573801,-0.8865574624847806,0.1507661237212978,3217,0.00031084861672365556,1.0674541498290333,29,0.0008212258929435421,-0.008731845147758642,-13.642585410372574,-14.438207358926281,22777,NIFTY,BREAK,2.0
-12.39029708390339,-0.9022592494355973,0.1507661237212978,3217,0.00031084861672365556,1.0674541498290333,29,0.00022122589294354205,-0.009331845147758642,-14.615185410372572,-15.39580735892628,22777,NIFTY,BREAK,5.0
-13.38789697410963,-0.9237572509751312,0.1507661237212978,3217,0.0,1.0674541498290333,29,,-0.010328875588840178,-16.23618541037257,-16.99180735892628,22777,NIFTY,BREAK,10.0
-2.162903079224235,-0.30783145345422375,0.5281144181072892,1164,0.5979381443298969,10.18298969072165,84,0.005997779214420776,-0.01867616707539846,-1.4597910553328592,-3.1062008027167582,22444,BANKNIFTY,FADE,0.0
-2.3900073206061,-0.3324737030325179,0.5281144181072892,1164,0.5867697594501718,10.18298969072165,84,0.005707858920869054,-0.018565612268197883,-1.6985910553328591,-3.333000802716758,22444,BANKNIFTY,FADE,2.0
-2.731418945544086,-0.3678105255977916,0.5281144181072892,1164,0.5567010309278351,10.18298969072165,84,0.00540358380891696,-0.017890531329898852,-2.056791055332859,-3.6732008027167584,22444,BANKNIFTY,FADE,5.0
-3.301063369246269,-0.4226183273300098,0.5281144181072892,1164,0.5128865979381443,10.18298969072165,84,0.004821521417785748,-0.017235344170137053,-2.653791055332859,-4.240200802716759,22444,BANKNIFTY,FADE,10.0
-10.814822123823483,-0.9447331594010664,0.15229014435929425,3102,0.0003223726627981947,1.1018697614442294,36,0.00471595778887439,-0.011819559932826273,-18.0425296957073,-18.605209698198088,22444,BANKNIFTY,BREAK,0.0
-11.115022434070275,-0.9498592321848586,0.15229014435929425,3102,0.0003223726627981947,1.1018697614442294,36,0.00431595778887439,-0.01221955993282627,-18.670129695707303,-19.218409698198087,22444,BANKNIFTY,BREAK,2.0
-11.555265186029532,-0.9566724095939859,0.15229014435929425,3102,0.0003223726627981947,1.1018697614442294,36,0.00371595778887439,-0.012819559932826272,-19.611529695707304,-20.13820969819809,22444,BANKNIFTY,BREAK,5.0
-12.262128152097802,-0.9660365951799441,0.15229014435929425,3102,0.0003223726627981947,1.1018697614442294,36,0.00271595778887439,-0.013819559932826271,-21.180529695707303,-21.67120969819809,22444,BANKNIFTY,BREAK,10.0
-2.5836868663156407,-0.41439248467599377,0.5293177974065025,557,0.5763016157989228,10.100538599640933,69,0.007352397135057396,-0.02322589582115387,-0.9624432736595616,-2.1587486597793273,10642,RELIANCE,FADE,0.0
-2.774623987963261,-0.4354294840217037,0.5293177974065025,557,0.5727109515260324,10.100538599640933,69,0.006996857793900061,-0.023428527603752136,-1.0716432736595616,-2.272348659779327,10642,RELIANCE,FADE,2.0
-3.061910844771763,-0.46558384708175143,0.5293177974065025,557,0.5493716337522442,10.100538599640933,69,0.006681784526256323,-0.022800071707065037,-1.2354432736595615,-2.442748659779327,10642,RELIANCE,FADE,5.0
-3.542290997560399,-0.5123225431803385,0.5293177974065025,557,0.526032315978456,10.100538599640933,69,0.00595665453466517,-0.022653377697332513,-1.5084432736595614,-2.726748659779327,10642,RELIANCE,FADE,10.0
-11.239515018782821,-0.978375152623129,0.1567374553655328,1615,0.0,1.0321981424148607,18,,-0.014220816483742646,-12.359196418390944,-10.607422202853426,10642,RELIANCE,BREAK,0.0
-11.502067570104689,-0.9805705096323862,0.1567374553655328,1615,0.0,1.0321981424148607,18,,-0.014620816483742645,-12.702796418390943,-10.909822202853425,10642,RELIANCE,BREAK,2.0
-11.888941870880307,-0.9834534911843317,0.1567374553655328,1615,0.0,1.0321981424148607,18,,-0.015220816483742641,-13.218196418390946,-11.363422202853425,10642,RELIANCE,BREAK,5.0
-12.515109080653932,-0.9873409505792988,0.1567374553655328,1615,0.0,1.0321981424148607,18,,-0.016220816483742642,-14.077196418390944,-12.119422202853425,10642,RELIANCE,BREAK,10.0
-0.832397045405621,-0.149135215012259,0.4913072079691758,621,0.6763285024154589,8.417069243156199,55,0.0062252897280710255,-0.01753416577864096,0.08641487651573895,-0.9961605122327418,10641,HDFCBANK,FADE,0.0
-1.0685601220155057,-0.18315592582606324,0.4913072079691758,621,0.6666666666666666,8.417069243156199,55,0.005912319113843716,-0.017419544680426575,-0.03798512348426092,-1.1201605122327418,10641,HDFCBANK,FADE,2.0
-1.424647652828484,-0.23166529955207435,0.4913072079691758,621,0.6489533011272142,8.417069243156199,55,0.005466038062356812,-0.017126417315811,-0.22458512348426107,-1.3061605122327418,10641,HDFCBANK,FADE,5.0
-2.0216957263232658,-0.30622568282754886,0.4913072079691758,621,0.5974235104669887,8.417069243156199,55,0.004892087798477427,-0.015866840835808513,-0.5355851234842611,-1.6161605122327423,10641,HDFCBANK,FADE,10.0
-10.391255879111377,-0.9483779226505034,0.16483413213043888,1555,0.0,1.1273311897106109,42,,-0.011442247201910853,-9.296995215482866,-8.495699183488512,10641,HDFCBANK,BREAK,0.0
-10.699453291665117,-0.953427071967067,0.16483413213043888,1555,0.0,1.1273311897106109,42,,-0.011842247201910855,-9.618195215482867,-8.79649918348851,10641,HDFCBANK,BREAK,2.0
-11.152619420976057,-0.960091650013504,0.16483413213043888,1555,0.0,1.1273311897106109,42,,-0.012442247201910854,-10.099995215482867,-9.24769918348851,10641,HDFCBANK,BREAK,5.0
-11.883308702695308,-0.9691513752979688,0.16483413213043888,1555,0.0,1.1273311897106109,42,,-0.013442247201910854,-10.902995215482866,-9.999699183488513,10641,HDFCBANK,BREAK,10.0
-0.6729876095218263,-0.1592088632410362,0.47006201077564297,555,0.6648648648648648,8.30990990990991,49,0.008350866608517962,-0.021125436385000727,0.09547309249922975,-0.9433344815662361,9837,ICICIBANK,FADE,0.0
-0.8535029175647459,-0.1917232704710928,0.47006201077564297,555,0.654054054054054,8.30990990990991,49,0.008085903790574283,-0.02085960658877849,-0.014126907500770156,-1.055734481566236,9837,ICICIBANK,FADE,2.0
-1.1253357237525807,-0.23816382468630565,0.47006201077564297,555,0.6486486486486487,8.30990990990991,49,0.007550984033514475,-0.021134439185293424,-0.17852690750077033,-1.2243344815662365,9837,ICICIBANK,FADE,5.0
-1.580590369648665,-0.3097384576908235,0.47006201077564297,555,0.618018018018018,8.30990990990991,49,0.006902854238663471,-0.02040349241947442,-0.4525269075007703,-1.5053344815662362,9837,ICICIBANK,FADE,10.0
-11.013387068001142,-0.9827144826660118,0.15329876995018807,1395,0.0,1.0810035842293906,29,,-0.016076865657681048,-11.57306076207189,-10.854166830393172,9837,ICICIBANK,BREAK,0.0
-11.238673588405543,-0.9843609453225423,0.15329876995018807,1395,0.0,1.0810035842293906,29,,-0.01647686565768105,-11.856260762071889,-11.128966830393171,9837,ICICIBANK,BREAK,2.0
-11.571059898848862,-0.9865418233088137,0.15329876995018807,1395,0.0,1.0810035842293906,29,,-0.01707686565768105,-12.28106076207189,-11.541166830393173,9837,ICICIBANK,BREAK,5.0
-12.110217693395125,-0.9895230416101297,0.15329876995018807,1395,0.0,1.0810035842293906,29,,-0.01807686565768105,-12.98906076207189,-12.228166830393173,9837,ICICIBANK,BREAK,10.0
-0.9643233888191737,-0.18354462656845968,0.49746288291674495,632,0.6645569620253164,8.354430379746836,43,0.006673777681568448,-0.01830024218563117,-0.16366268414552282,-0.9130020329495381,10642,INFY,FADE,0.0
-1.1846150525443333,-0.21676148711451626,0.49746288291674495,632,0.6566455696202531,8.354430379746836,43,0.006352035159553182,-0.018274466858569732,-0.27886268414552284,-1.050602032949538,10642,INFY,FADE,2.0
-1.5162310105805614,-0.2640816154308569,0.49746288291674495,632,0.6424050632911392,8.354430379746836,43,0.005886430522504781,-0.018135201368283192,-0.45166268414552285,-1.257002032949538,10642,INFY,FADE,5.0
-2.0709740832561887,-0.3367086657276922,0.49746288291674495,632,0.6091772151898734,8.354430379746836,43,0.0051764156323172,-0.01754487747181046,-0.7396626841455228,-1.601002032949538,10642,INFY,FADE,10.0
-10.17483228189069,-0.9610376801826345,0.15777109565871078,1558,0.0006418485237483953,1.077663671373556,29,0.00866646315688706,-0.012482593445591226,-11.194400043116556,-8.232331488512097,10642,INFY,BREAK,0.0
-10.453285754341593,-0.964856209733768,0.15777109565871078,1558,0.0006418485237483953,1.077663671373556,29,0.00826646315688706,-0.012882593445591227,-11.557200043116556,-8.492731488512096,10642,INFY,BREAK,2.0
-10.863696519292997,-0.9698950874112019,0.15777109565871078,1558,0.0006418485237483953,1.077663671373556,29,0.00766646315688706,-0.013482593445591228,-12.101400043116556,-8.883331488512098,10642,INFY,BREAK,5.0
-11.528122157884493,-0.9767419382235389,0.15777109565871078,1558,0.0006418485237483953,1.077663671373556,29,0.00666646315688706,-0.014482593445591227,-13.008400043116556,-9.534331488512098,10642,INFY,BREAK,10.0
-1.0355432578578592,-0.17368298675589391,0.4904153354632588,629,0.6422893481717011,8.297297297297296,50,0.006582831458437387,-0.01659225711152827,-0.2690307428439493,-0.8047631980412073,10642,TCS,FADE,0.0
-1.28263882165098,-0.20710742806298074,0.4904153354632588,629,0.6343402225755167,8.297297297297296,50,0.006262780539564104,-0.016627145113787975,-0.39103074284394934,-0.9343631980412073,10642,TCS,FADE,2.0
-1.655413155366119,-0.25473775916416347,0.4904153354632588,629,0.6168521462639109,8.297297297297296,50,0.005830564105848146,-0.01645250130271468,-0.5740307428439494,-1.1287631980412074,10642,TCS,FADE,5.0
-2.2808856402430253,-0.32787638884470355,0.4904153354632588,629,0.589825119236884,8.297297297297296,50,0.005070471209784818,-0.016329219998896607,-0.8790307428439492,-1.4527631980412075,10642,TCS,FADE,10.0
